tag_opc,coluna_banco
Channel.Device.Pasta.Linha,linha
Channel.Device.Pasta.bER,bER
Channel.Device.Pasta.bSTATUS,bSTATUS
Channel.Device.Pasta.dStatus,dStatus
Channel.Device.Pasta.dInstHuskEars,dInstHuskEars
Channel.Device.Pasta.dInstNoHuskEars,dInstNoHuskEars
Channel.Device.Pasta.dInstTotalEars,dInstTotalEars
Channel.Device.Pasta.rInstAveHusk,rInstAveHusk
Channel.Device.Pasta.rInstAveNoHusk,rInstAveNoHusk
Channel.Device.Pasta.dTotHuskSample,dTotHuskSample
Channel.Device.Pasta.dTotNoHuskSample,dTotNoHuskSample
Channel.Device.Pasta.dTotEarsSample,dTotEarsSample
Channel.Device.Pasta.dSampleTime,dSampleTime
Channel.Device.Pasta.rTotAveHuskSample,rTotAveHuskSample
Channel.Device.Pasta.rTotAveNoHuskSample,rTotAveNoHuskSample
Channel.Device.Pasta.rTotAveHasKernelsSample,rTotAveHasKernelsSample
Channel.Device.Pasta.rTotAveNoKernelsSample,rTotAveNoKernelsSample
Channel.Device.Pasta.rTotAveKernelsSample,rTotAveKernelsSample
Channel.Device.Pasta.dTotHuskBatch,dTotHuskBatch
Channel.Device.Pasta.dTotNoHuskBatch,dTotNoHuskBatch
Channel.Device.Pasta.dTotEarsBatch,dTotEarsBatch
Channel.Device.Pasta.dBatchTime,dBatchTime
Channel.Device.Pasta.rTotAveHuskBatch,rTotAveHuskBatch
Channel.Device.Pasta.rTotAveNoHuskBatch,rTotAveNoHuskBatch
Channel.Device.Pasta.rTotAveHasKernelsBatch,rTotAveHasKernelsBatch
Channel.Device.Pasta.rTotAveNoKernelsBatch,rTotAveNoKernelsBatch
Channel.Device.Pasta.rTotAveKernelsBatch,rTotAveKernelsBatch
Channel.Device.Pasta.rInstSeedLoss,rInstSeedLoss
Channel.Device.Pasta.ScaleTicket,scale_ticket

